热度,作者,用户名,内容,链接,发布时间
93,Hey Anon,HeyAnonai,Huge update for the Hey Anon MCP..  - continue to access the agents via our API:  https://t.co/Y7ufeUwveN  - or now access agents via x402 and ERC 8004:  https://t.co/lJPItUFTUV,https://twitter.com/HeyAnonai/status/2035084428771532918,Fri Mar 20 20:01:52 +0000 2026
42,"Cobot (x402, 8004 agents)",cobotgg,"Excited to be working with @openservai 🤝  Soon, Cobot’s prediction market agents for @Polymarket  &amp; @Kalshi  will be powered by SERV’s reasoning framework.  $CBT will launch via the SERV launchpad",https://twitter.com/cobotgg/status/2035054110031192322,Fri Mar 20 18:01:23 +0000 2026
15,Monte,C_Monte_Crypto,All the infra we built is for DeFi-8004 to be possible.,https://twitter.com/C_Monte_Crypto/status/2035054653797216432,Fri Mar 20 18:03:33 +0000 2026
15,sergio,cruelhandeth,"Molty's shipped so many new features over the past few weeks  - Deployed, verified, and registered as the first agentIdentity using the ERC-8004 contracts for agents on @inkonchain - built an mcp for ",https://twitter.com/cruelhandeth/status/2034961006120611935,Fri Mar 20 11:51:26 +0000 2026
14,0xPanda,PaschalOkechuk5,"Been doing a little bit of research on ERC-8004 — basically a passport system for AI agents on Ethereum. Over 103,000 agents already registered. Let me break down what I understand so far 👇",https://twitter.com/PaschalOkechuk5/status/2035097307436183657,Fri Mar 20 20:53:03 +0000 2026
11,"Daydreams.Systems (x402, 8004 agents)",daydreamsagents,Thanks for hosting us!  Daydreams closed the call with discussion about the current Daydreams Commerce Harness and the future we are building for,https://twitter.com/daydreamsagents/status/2035167911120454102,Sat Mar 21 01:33:36 +0000 2026
10,Mayur Kulkarni,mayurk_cmd,"Built Agent Market for @Celo Build Agents for the Real World V2! Autonomous task marketplace — AI agents bid, execute &amp; collect CELO on-chain, Open Claw agents compete for tasks, ERC-8004 reputati",https://twitter.com/mayurk_cmd/status/2035051914019447086,Fri Mar 20 17:52:40 +0000 2026
9,YourCoderGuy,YourCoderguyy,"Hey guys, I’ve been working on my startup for the past 5 months, and I feel like we need one more team member.  I’m looking for someone who is really good at AI agent development and can dedicate at l",https://twitter.com/YourCoderguyy/status/2035050417097515379,Fri Mar 20 17:46:43 +0000 2026
9,Marty Kausas,marty_kausas,We're prototyping a new AI agent for B2B-specific support.  And the results are shocking.  → Dropped first response SLA by 75% (in 30 days) → Got to 0 tickets in our queue for the first time ever → De,https://twitter.com/marty_kausas/status/2035046217571299574,Fri Mar 20 17:30:02 +0000 2026
8,"Cobot (x402, 8004 agents)",cobotgg,"Polymarket × Cobot  Introducing the first AI trading engine for sports, powered by @Polymarket   Real-time signals → automated execution.  Public beta soon. DM for early access. https://t.co/ySaiUR6eE",https://twitter.com/cobotgg/status/2035020262715138133,Fri Mar 20 15:46:54 +0000 2026
8,Primer {x402 / 8004 agentics},primer_systems,"DAO Proposal: PR Supply Finalisation  Vote now on a potential 51% supply burn, Treasury formation, or other options:  https://t.co/iYaHQy6GJs  Voting is open for 7 days. https://t.co/aUVgAX4qz3",https://twitter.com/primer_systems/status/2034966940091830282,Fri Mar 20 12:15:01 +0000 2026
7,Julian Goldie SEO,JulianGoldieSEO,🚨 Perplexity just launched a real AI agent  It runs your browser for you 🤯  Research posts. Write updates. Publish content.  One command. Done.  Game changed 😂  Link in the comments 👇 https://t.co/xYe,https://twitter.com/JulianGoldieSEO/status/2035076979008184343,Fri Mar 20 19:32:16 +0000 2026
7,Sahil Jagtap,twtofsahil,Genuine question for people building with AI agents:  Have you ever been surprised by an API bill? What happened?  I'm building @agentbudgetsdk to prevent this and I want to hear real stories.   Drop ,https://twitter.com/twtofsahil/status/2035056513631367358,Fri Mar 20 18:10:57 +0000 2026
7,Primer {x402 / 8004 agentics},primer_systems,Our Adaptive Burn hook contract has been approved by Uniswap. We will shortly be setting it up in our v4 PR:ETH pool to begin market-responsive burns of the PR supply.  For any other teams who have co,https://twitter.com/primer_systems/status/2035018233833455677,Fri Mar 20 15:38:50 +0000 2026
6,DomainEraX ₿,DomainEraX,Domain for sale  https://t.co/ICSdmfmvrW  #AntiScamClaw #AntiScam #Scam #AiAgent #ai #Agent #agents #Claw #Domain #Domains #DomainNames #DomainForSale #AgentCompliance #Compliance #AiCompliance #AntiS,https://twitter.com/DomainEraX/status/2035088123864961327,Fri Mar 20 20:16:33 +0000 2026
6,Cribl,cribl_io,"Cribl is built for #AI agents. Our architecture handles the 10x or more query volume agents will generate without falling over. Federated, elastic, and cost-optimized: https://t.co/U55aNaGt6S https://",https://twitter.com/cribl_io/status/2035041463558447148,Fri Mar 20 17:11:08 +0000 2026
6,superfluid.eth,Superfluid_HQ,"ETHCC is coming.  And here's a cool idea for builders out there:  Manually sifting through 40 events can be exhausting. What if an agent did the scoring, filtering, and RSVPing for you?  P.S. we're st",https://twitter.com/Superfluid_HQ/status/2035201397353062627,Sat Mar 21 03:46:39 +0000 2026
5,Doppel,doppelfun,"We’ve also made ERC-8004 identity registration on Base dead simple in Doppel V1.  For Doppel’s turnkey agents, identity is handled automatically during creation through a 1-click flow.  https://t.co/r",https://twitter.com/doppelfun/status/2035108995946418486,Fri Mar 20 21:39:29 +0000 2026
5,Julio M Cruz 🔜 ETHCC 🇫🇷,JulioMCruz,Great session with @devlabx3 on ERC-8004 and on-chain agent discovery.  Being around developers focused on the agentic economy is where the real energy is. This is where the next wave gets built with ,https://twitter.com/JulioMCruz/status/2035096077620101398,Fri Mar 20 20:48:09 +0000 2026
4,marilyn100x.eth,marilyn100x,5/ DAI isn't waiting for the agentic economy.   It's being built into the plumbing of it.   The @ethereumfndn's dAI roadmap positions DAI as the primary settlement currency for autonomous AI agents on,https://twitter.com/marilyn100x/status/2034968955996315776,Fri Mar 20 12:23:01 +0000 2026
4,AWE,awenetwork_ai,📂 2026 Agent Trend Predictions ┃ ┣ 📂 From chat to workflows ┃ ┣ 📂 Stronger reasoning ┃ ┣ 📂 More reliable tool use ┃ ┗ 📂 More autonomous execution ┃ ┣ 📂 From apps to infrastructure ┃ ┣ 📂 x402 for payme,https://twitter.com/awenetwork_ai/status/2034964923617366184,Fri Mar 20 12:07:00 +0000 2026
3,curare,CurareCrypto,"january 2026: 337 erc-8004 agents on-chain. march2026: 130,000 erc-8004 agents on-chain.  every blockchain was built for humans.  but agents are here now. they need identity &amp; context.  the market",https://twitter.com/CurareCrypto/status/2034999786084909421,Fri Mar 20 14:25:32 +0000 2026
2,Kyle Field,mrkylefield,"tl;dr AI agent building and rebuilding is now a foundational competency for companies.  The more agile your AI stack is, the more competitive &amp; profitable your company will be.",https://twitter.com/mrkylefield/status/2035173631836512563,Sat Mar 21 01:56:20 +0000 2026
2,0xPanda,PaschalOkechuk5,So you know how AI agents are becoming a big thing in crypto right now? The problem is there was no standard way for agents to identify themselves or talk to each other on-chain. ERC-8004 is trying to,https://twitter.com/PaschalOkechuk5/status/2035097434628542583,Fri Mar 20 20:53:33 +0000 2026
2,Celo Developers ◘ 🦇🌳,CeloDevs,"🔤 @ensdomains  Give your agent an ENS name so it's discoverable and identifiable, no cryptic wallet addresses. Combine ENS with ERC-8004 on Celo for a portable, trustworthy agent identity that works a",https://twitter.com/CeloDevs/status/2035009284342513867,Fri Mar 20 15:03:16 +0000 2026
1,Fixr,Fixr21718,"Obol: every API call to an AI agent buys its token on a bonding curve. Pay for compute, create buy pressure. Agent-to-agent payments that bootstrap token economies. https://t.co/1eW1Sjb1Bl  #Obol #Mon",https://twitter.com/Fixr21718/status/2035038959030751370,Fri Mar 20 17:01:11 +0000 2026
